,procedure,ablation,family,policy,n_tasks,n_subsets,mean_start_mean,mean_start_ci_lo,mean_start_ci_hi,best_start_mean,best_start_ci_lo,best_start_ci_hi,worst_start_mean,worst_start_ci_lo,worst_start_ci_hi,gap_mean,gap_ci_lo,gap_ci_hi
0,random_v_MSE_v2,pretrained_baseline,ACDC,mse_alternate_start_max,6,60,11.386468166666665,11.022929166666664,11.731362499999998,10.895675,10.541625000000002,11.243374999999999,11.841239999999999,11.444791666666665,12.214999999999998,-0.4907931666666665,-0.5448499999999998,-0.4294874999999998
1,random_v_MSE_v2,pretrained_baseline,ACDC,mse_alternate_start_min,6,60,11.393401333333333,11.0242375,11.733849999999999,10.884998333333334,10.513291666666667,11.243500000000001,11.879846666666667,11.498333333333333,12.225041666666666,-0.508403,-0.5578416666666668,-0.4571541666666666
2,random_v_MSE_v2,pretrained_baseline,ACDC,mse_max,6,60,11.383643166666669,11.029433333333332,11.722770833333335,10.895585,10.554958333333333,11.238458333333336,11.814118333333333,11.445,12.151666666666666,-0.4880581666666668,-0.5446666666666667,-0.43347083333333336
3,random_v_MSE_v2,pretrained_baseline,ACDC,mse_min,6,60,11.412934166666668,11.048604166666667,11.746004166666667,10.938323333333333,10.561583333333333,11.293416666666667,11.848581666666666,11.471416666666666,12.211875,-0.47461083333333337,-0.5200041666666668,-0.42048333333333326
4,random_v_MSE_v2,pretrained_baseline,ACDC,random,6,60,11.387299733333334,11.029452916666667,11.726313750000001,10.639586666666666,10.279958333333333,11.010083333333332,12.118573333333334,11.74825,12.456666666666665,-0.7477130666666665,-0.8230945833333333,-0.6613479166666665
5,random_v_MSE_v2,pretrained_baseline,BTCV,mse_alternate_start_max,20,200,3.1839578,3.0999362500000003,3.27701,2.619315,2.567975,2.679525,4.0390005,3.75795,4.382512500000002,-0.5646428000000001,-0.61222875,-0.5245462499999999
6,random_v_MSE_v2,pretrained_baseline,BTCV,mse_alternate_start_min,20,200,3.1814141,3.11651875,3.25337,2.600813,2.5479875000000005,2.6545124999999996,3.9102219999999996,3.7934999999999994,4.041037500000001,-0.5806011000000001,-0.6205500000000002,-0.5493937500000001
7,random_v_MSE_v2,pretrained_baseline,BTCV,mse_max,20,200,3.1694062,3.09879875,3.2496062500000003,2.5770675,2.5219875,2.6425125,3.9078325,3.75645,4.070500000000001,-0.5923387,-0.62215625,-0.5655975000000001
8,random_v_MSE_v2,pretrained_baseline,BTCV,mse_min,20,200,3.16407035,3.101935,3.2358925000000003,2.6041745,2.5484875000000002,2.6665,3.923928,3.8294875000000004,4.0195125,-0.5598958499999999,-0.57625125,-0.5418862499999998
9,random_v_MSE_v2,pretrained_baseline,BTCV,random,20,200,3.164659205,3.0975979999999996,3.2385656249999997,2.2799650000000002,2.2174750000000003,2.3580250000000005,4.674739499999999,4.42945,4.913062500000001,-0.884694205,-0.9174717500000001,-0.8525638750000001
10,random_v_MSE_v2,pretrained_baseline,BUID,mse_alternate_start_max,4,40,1.227661,1.0950000000000002,1.372125,0.94107,0.8250000000000001,1.060125,1.6629950000000002,1.445,1.94,-0.2865909999999999,-0.3370125,-0.24
11,random_v_MSE_v2,pretrained_baseline,BUID,mse_alternate_start_min,4,40,1.235593,1.106,1.3750125,0.95253,0.83,1.0899999999999999,1.6140900000000002,1.4449999999999998,1.81,-0.28306300000000006,-0.32902499999999996,-0.2375000000000001
12,random_v_MSE_v2,pretrained_baseline,BUID,mse_max,4,40,1.2314725000000002,1.0949874999999998,1.3850250000000002,0.9384750000000001,0.815,1.0899999999999999,1.594275,1.4200000000000002,1.7901250000000002,-0.2929975000000001,-0.3400000000000001,-0.25450000000000006
13,random_v_MSE_v2,pretrained_baseline,BUID,mse_min,4,40,1.2508545000000002,1.1444750000000001,1.3679999999999999,0.9721900000000001,0.8550000000000001,1.1,1.622095,1.5000000000000002,1.7701250000000002,-0.2786645,-0.3175,-0.2434875
14,random_v_MSE_v2,pretrained_baseline,BUID,random,4,40,1.2463841,1.13917,1.3674087499999998,0.82715,0.73,0.94,1.953065,1.7798749999999999,2.155,-0.41923409999999994,-0.440205,-0.40034625
15,random_v_MSE_v2,pretrained_baseline,WBC,mse_alternate_start_max,8,80,5.9916244999999995,5.26840625,6.739293749999999,5.1255925,4.412375,5.850562499999999,6.940720000000001,6.184937499999999,7.662624999999999,-0.8660319999999998,-0.9140249999999999,-0.8212312499999999
16,random_v_MSE_v2,pretrained_baseline,WBC,mse_alternate_start_min,8,80,6.01797575,5.294456249999999,6.7515,5.0817325,4.287375,5.8326875000000005,7.0468425,6.2474375,7.8475625,-0.93624325,-1.0535875,-0.8479749999999998
17,random_v_MSE_v2,pretrained_baseline,WBC,mse_max,8,80,6.0052217500000005,5.2713375000000005,6.732131249999999,5.096515,4.33,5.85525,6.955040000000001,6.1975,7.685062500000001,-0.9087067499999999,-0.99601875,-0.8334624999999999
18,random_v_MSE_v2,pretrained_baseline,WBC,mse_min,8,80,6.0573875,5.313925,6.80404375,5.127895,4.3423750000000005,5.8750625,7.060925,6.287437499999999,7.8376875,-0.9294925,-1.0457625,-0.8139375000000001
19,random_v_MSE_v2,pretrained_baseline,WBC,random,8,80,6.0473630499999995,5.288351249999999,6.792529375000001,4.7662675,3.9949375000000003,5.545437499999999,7.6446024999999995,6.8546875,8.442625,-1.28109555,-1.39175125,-1.194359375
20,random_v_MSE_v2,pretrained_baseline10p,ACDC,mse_alternate_start_max,6,60,6.167012333333334,5.971925000000001,6.347354166666667,5.840616666666667,5.626625,6.043333333333333,6.470998333333334,6.293291666666666,6.631666666666667,-0.32639566666666675,-0.3611666666666667,-0.28832083333333336
21,random_v_MSE_v2,pretrained_baseline10p,ACDC,mse_alternate_start_min,6,60,6.178011666666667,5.983820833333334,6.353179166666667,5.854848333333333,5.638333333333333,6.051666666666667,6.4688550000000005,6.266666666666667,6.646708333333332,-0.3231633333333334,-0.3553375,-0.29299583333333346
22,random_v_MSE_v2,pretrained_baseline10p,ACDC,mse_max,6,60,6.171105666666667,5.982283333333333,6.350862500000001,5.821281666666666,5.624916666666667,6.008375,6.50841,6.326583333333335,6.681666666666666,-0.3498240000000001,-0.37700000000000006,-0.32350000000000007
23,random_v_MSE_v2,pretrained_baseline10p,ACDC,mse_min,6,60,6.178813833333334,5.980816666666667,6.3544125,5.863899999999999,5.676666666666667,6.0299999999999985,6.507381666666666,6.294999999999999,6.71,-0.3149138333333333,-0.34550416666666667,-0.28432916666666663
24,random_v_MSE_v2,pretrained_baseline10p,ACDC,random,6,60,6.174807783333334,5.9867429166666675,6.344219166666667,5.6421633333333325,5.444958333333334,5.83175,6.689666666666666,6.508333333333334,6.858416666666668,-0.53264445,-0.5747579166666666,-0.4874449999999999
25,random_v_MSE_v2,pretrained_baseline10p,BTCV,mse_alternate_start_max,20,200,2.9271955,2.8663450000000004,2.9943774999999992,2.435168,2.3805,2.5,3.468645,3.363975,3.589025,-0.4920275,-0.5132,-0.469
26,random_v_MSE_v2,pretrained_baseline10p,BTCV,mse_alternate_start_min,20,200,2.92073075,2.87538625,2.9723512499999996,2.416667,2.3775000000000004,2.4595124999999998,3.4789255000000003,3.4025000000000007,3.5620249999999998,-0.50406375,-0.52655625,-0.48374625000000004
27,random_v_MSE_v2,pretrained_baseline10p,BTCV,mse_max,20,200,2.90839135,2.85064,2.9733575,2.4333294999999997,2.3935,2.4855125000000005,3.447563,3.3539250000000003,3.5500249999999998,-0.47506184999999995,-0.5032512499999999,-0.45203625000000003
28,random_v_MSE_v2,pretrained_baseline10p,BTCV,mse_min,20,200,2.9217568000000003,2.86554375,2.9846774999999997,2.44381,2.3859874999999997,2.5050250000000003,3.5080975,3.438,3.5960125,-0.4779468,-0.5009512500000001,-0.45324749999999997
29,random_v_MSE_v2,pretrained_baseline10p,BTCV,random,20,200,2.9091891450000005,2.8584477500000003,2.9676064999999996,2.1348730000000002,2.0900000000000003,2.188,3.9552255000000005,3.8409999999999997,4.055,-0.774316145,-0.797831625,-0.750697875
30,random_v_MSE_v2,pretrained_baseline10p,BUID,mse_alternate_start_max,4,40,1.2206305000000002,1.0904375,1.3640124999999999,0.93653,0.8300000000000001,1.0499999999999998,1.6472650000000002,1.439875,1.9149999999999998,-0.28410050000000003,-0.339525,-0.2385
31,random_v_MSE_v2,pretrained_baseline10p,BUID,mse_alternate_start_min,4,40,1.237408,1.0964875,1.3840249999999998,0.95792,0.8048749999999999,1.12,1.63201,1.4048749999999999,1.91,-0.279488,-0.3190375000000001,-0.23600000000000002
32,random_v_MSE_v2,pretrained_baseline10p,BUID,mse_max,4,40,1.2305285,1.094975,1.3785374999999997,0.95284,0.81,1.12,1.603895,1.425,1.7999999999999998,-0.27768849999999995,-0.3345125,-0.236
33,random_v_MSE_v2,pretrained_baseline10p,BUID,mse_min,4,40,1.2435630000000002,1.1309749999999998,1.366525,0.96216,0.8348749999999999,1.0999999999999999,1.622585,1.5,1.770125,-0.281403,-0.3235,-0.2415
34,random_v_MSE_v2,pretrained_baseline10p,BUID,random,4,40,1.2447354,1.13678875,1.3653499999999998,0.80726,0.715,0.9050000000000001,1.95036,1.745,2.19,-0.43747539999999996,-0.4953562500000001,-0.38774125
35,random_v_MSE_v2,pretrained_baseline10p,WBC,mse_alternate_start_max,8,80,4.1686175,3.791325,4.5175875,3.58646,3.1595,3.9526875,4.8451925000000005,4.499875,5.157562500000001,-0.5821575,-0.63828125,-0.54025
36,random_v_MSE_v2,pretrained_baseline10p,WBC,mse_alternate_start_min,8,80,4.1984515,3.8402375,4.5468375,3.5440699999999996,3.1249375,3.945,4.8973474999999995,4.582437499999999,5.232562500000001,-0.6543815,-0.7217624999999999,-0.5949999999999998
37,random_v_MSE_v2,pretrained_baseline10p,WBC,mse_max,8,80,4.207394,3.845975,4.537287500000001,3.5867150000000003,3.1849999999999996,3.9625000000000004,4.919,4.605,5.1975625,-0.6206790000000001,-0.7297562500000001,-0.53173125
38,random_v_MSE_v2,pretrained_baseline10p,WBC,mse_min,8,80,4.290003,3.9284750000000006,4.6435562500000005,3.66086,3.2275,4.0626875,4.9862625,4.6625000000000005,5.342499999999999,-0.629143,-0.7225375,-0.54621875
39,random_v_MSE_v2,pretrained_baseline10p,WBC,random,8,80,4.241014375000001,3.8647449999999997,4.59231125,3.2848950000000006,2.8773125,3.6876875,5.4205325,5.0674375000000005,5.7250625,-0.956119375,-1.0683387500000001,-0.8628450000000001
40,random_v_MSE_v2,pretrained_baseline15p,ACDC,mse_alternate_start_max,6,60,8.811970833333334,8.526604166666667,9.071687500000001,8.381088333333333,8.078333333333333,8.671750000000001,9.177771666666667,8.904916666666667,9.421666666666667,-0.43088249999999995,-0.48002083333333334,-0.37516666666666665
41,random_v_MSE_v2,pretrained_baseline15p,ACDC,mse_alternate_start_min,6,60,8.817701833333333,8.532195833333336,9.075025,8.383576666666668,8.109916666666667,8.636833333333332,9.194051666666667,8.8915,9.465083333333332,-0.4341251666666666,-0.4769999999999998,-0.39331666666666665
42,random_v_MSE_v2,pretrained_baseline15p,ACDC,mse_max,6,60,8.800129,8.524,9.060337500000001,8.404465,8.146541666666666,8.668333333333331,9.183458333333334,8.914958333333333,9.436791666666668,-0.39566400000000007,-0.4468333333333332,-0.3371541666666667
43,random_v_MSE_v2,pretrained_baseline15p,ACDC,mse_min,6,60,8.8299955,8.551741666666667,9.0825125,8.430165,8.144958333333333,8.688374999999999,9.205061666666667,8.901666666666669,9.488583333333331,-0.39983050000000014,-0.4540041666666668,-0.34716250000000015
44,random_v_MSE_v2,pretrained_baseline15p,ACDC,random,6,60,8.816783933333332,8.539188333333334,9.069388333333334,8.169506666666667,7.883208333333333,8.446666666666667,9.416549999999999,9.145000000000001,9.676708333333332,-0.6472772666666667,-0.7014883333333336,-0.58532125
45,random_v_MSE_v2,pretrained_baseline15p,BTCV,mse_alternate_start_max,20,200,3.0966757499999997,3.0312899999999994,3.1708287499999996,2.5579205000000003,2.503,2.630525,3.7512600000000003,3.6239125,3.8940625000000004,-0.5387552499999999,-0.5738525,-0.5043900000000002
46,random_v_MSE_v2,pretrained_baseline15p,BTCV,mse_alternate_start_min,20,200,3.0901206,3.03600375,3.14693375,2.53677,2.4814875,2.6049999999999995,3.746792,3.6449875000000005,3.8430125,-0.5533506,-0.57365375,-0.5305475000000001
47,random_v_MSE_v2,pretrained_baseline15p,BTCV,mse_max,20,200,3.0958630499999997,3.0374375000000002,3.1593537499999997,2.562812,2.509,2.6220499999999998,3.7145275,3.6059750000000004,3.822025,-0.5330510500000001,-0.56651875,-0.49553875000000003
48,random_v_MSE_v2,pretrained_baseline15p,BTCV,mse_min,20,200,3.07821925,3.0154275,3.1493100000000003,2.535775,2.475475,2.601,3.754297,3.6675000000000004,3.8390124999999995,-0.54244425,-0.5622512499999999,-0.52247875
49,random_v_MSE_v2,pretrained_baseline15p,BTCV,random,20,200,3.080595585,3.023672625,3.1437327500000003,2.2402100000000003,2.1885000000000003,2.301025,4.3577305,4.1969875,4.524025,-0.840385585,-0.855106,-0.8260131249999999
50,random_v_MSE_v2,pretrained_baseline15p,BUID,mse_alternate_start_max,4,40,1.227242,1.09545,1.3706,0.936635,0.8150000000000001,1.060125,1.6457600000000001,1.449875,1.880125,-0.29060700000000006,-0.3325,-0.252
51,random_v_MSE_v2,pretrained_baseline15p,BUID,mse_alternate_start_min,4,40,1.2437695,1.1029875,1.3930125000000002,0.942445,0.7899999999999999,1.110125,1.6474699999999998,1.43,1.9249999999999998,-0.3013245,-0.3315125,-0.2734875
52,random_v_MSE_v2,pretrained_baseline15p,BUID,mse_max,4,40,1.2394399999999999,1.09595,1.39405,0.9480050000000001,0.8150000000000001,1.100125,1.584775,1.4,1.7901250000000002,-0.291435,-0.3405125,-0.2484875
53,random_v_MSE_v2,pretrained_baseline15p,BUID,mse_min,4,40,1.2450340000000002,1.1355,1.3655249999999999,0.981865,0.8648749999999998,1.11,1.6072800000000003,1.4899999999999998,1.74,-0.263169,-0.2955,-0.23298749999999993
54,random_v_MSE_v2,pretrained_baseline15p,BUID,random,4,40,1.2466126,1.14133875,1.36436125,0.80725,0.7100000000000001,0.905125,1.99767,1.814875,2.1999999999999997,-0.4393626,-0.49119999999999997,-0.39669125000000005
55,random_v_MSE_v2,pretrained_baseline15p,WBC,mse_alternate_start_max,8,80,5.181205,4.64315,5.71930625,4.478050000000001,3.8924375,5.045062500000001,5.97275,5.3745625,6.57025,-0.7031550000000001,-0.7950125000000001,-0.62798125
56,random_v_MSE_v2,pretrained_baseline15p,WBC,mse_alternate_start_min,8,80,5.25483775,4.683887499999999,5.809049999999999,4.4188600000000005,3.8324999999999996,5.005125,6.1988900000000005,5.6173125,6.7950625,-0.83597775,-0.8970312500000002,-0.7837437499999999
57,random_v_MSE_v2,pretrained_baseline15p,WBC,mse_max,8,80,5.21017175,4.6876187499999995,5.730712499999999,4.382205,3.7824375,4.955,6.056494999999999,5.5124375,6.577625,-0.8279667500000001,-0.93850625,-0.7422375000000001
58,random_v_MSE_v2,pretrained_baseline15p,WBC,mse_min,8,80,5.31564275,4.773350000000001,5.845625,4.458375,3.8948749999999994,5.0251875,6.171465,5.597125,6.7600625,-0.85726775,-0.9497687499999999,-0.7649937499999999
59,random_v_MSE_v2,pretrained_baseline15p,WBC,random,8,80,5.259063374999999,4.69358375,5.808125625000001,4.083135,3.5023124999999995,4.665187500000001,6.786912500000001,6.172125,7.4125,-1.175928375,-1.296151875,-1.077148125
60,random_v_MSE_v2,pretrained_baseline5p,ACDC,mse_alternate_start_max,6,60,3.412361833333333,3.3199875000000003,3.501908333333333,3.1660583333333334,3.053291666666666,3.2700416666666676,3.662576666666667,3.5682916666666666,3.7500416666666667,-0.24630350000000004,-0.2851666666666666,-0.2126666666666667
61,random_v_MSE_v2,pretrained_baseline5p,ACDC,mse_alternate_start_min,6,60,3.417606833333333,3.316991666666667,3.5145083333333336,3.1652283333333333,3.056625,3.2700416666666667,3.6664433333333335,3.568291666666666,3.760041666666666,-0.2523784999999999,-0.2764999999999999,-0.2303208333333333
62,random_v_MSE_v2,pretrained_baseline5p,ACDC,mse_max,6,60,3.4130453333333333,3.3146624999999994,3.5088541666666666,3.18304,3.0799583333333334,3.2800416666666674,3.650135,3.5599583333333333,3.7400416666666665,-0.2300053333333334,-0.24800416666666678,-0.2100000000000001
63,random_v_MSE_v2,pretrained_baseline5p,ACDC,mse_min,6,60,3.4283748333333333,3.324658333333333,3.523020833333333,3.2036516666666666,3.0916249999999996,3.3000000000000003,3.694198333333333,3.5899166666666664,3.813333333333333,-0.22472316666666667,-0.2621791666666666,-0.19049583333333336
64,random_v_MSE_v2,pretrained_baseline5p,ACDC,random,6,60,3.4257891,3.32842375,3.5127224999999997,3.0338933333333333,2.9299999999999997,3.1300000000000003,3.8295833333333333,3.736666666666667,3.918375,-0.39189576666666665,-0.41981875,-0.361745
65,random_v_MSE_v2,pretrained_baseline5p,BTCV,mse_alternate_start_max,20,200,2.3718885499999995,2.3328499999999996,2.4182675,2.0190765,1.9714875000000003,2.075,2.7601130000000005,2.7024999999999997,2.8200125,-0.35281204999999993,-0.36860124999999994,-0.33534875000000003
66,random_v_MSE_v2,pretrained_baseline5p,BTCV,mse_alternate_start_min,20,200,2.38141215,2.3461812500000003,2.426055,2.0081345,1.9695,2.0500125,2.766166,2.7239874999999993,2.8170249999999997,-0.37327765,-0.38460125,-0.36049749999999997
67,random_v_MSE_v2,pretrained_baseline5p,BTCV,mse_max,20,200,2.3650466000000003,2.32628625,2.4107087500000004,2.0249444999999997,1.9809875,2.0745125000000004,2.7551335000000003,2.7015,2.8165124999999995,-0.3401021,-0.35535125,-0.324
68,random_v_MSE_v2,pretrained_baseline5p,BTCV,mse_min,20,200,2.40502665,2.3657925,2.4588512500000004,2.0383454999999997,2.0029750000000006,2.0800374999999995,2.8075665,2.7559875000000003,2.8670625,-0.36668115,-0.3815,-0.3533962499999999
69,random_v_MSE_v2,pretrained_baseline5p,BTCV,random,20,200,2.3823947100000002,2.3467512500000005,2.425591,1.816682,1.778975,1.859025,3.0360085,2.9884875,3.0930125,-0.56571271,-0.5848186249999999,-0.54863925
70,random_v_MSE_v2,pretrained_baseline5p,BUID,mse_alternate_start_max,4,40,1.234001,1.101975,1.3780375,0.9513149999999999,0.8200000000000001,1.085,1.709845,1.495,1.9502499999999998,-0.28268600000000005,-0.32201250000000003,-0.2415
71,random_v_MSE_v2,pretrained_baseline5p,BUID,mse_alternate_start_min,4,40,1.24831,1.103,1.406025,0.97756,0.85,1.1199999999999999,1.68224,1.3900000000000001,2.07,-0.27075,-0.31651250000000003,-0.2269875
72,random_v_MSE_v2,pretrained_baseline5p,BUID,mse_max,4,40,1.232059,1.0939750000000001,1.3780499999999998,0.9379200000000001,0.815,1.08,1.6349449999999999,1.4100000000000001,1.9051249999999997,-0.294139,-0.33199999999999996,-0.258
73,random_v_MSE_v2,pretrained_baseline5p,BUID,mse_min,4,40,1.2591459999999999,1.1395,1.3994999999999997,0.96736,0.8550000000000001,1.085125,1.736855,1.464875,2.13,-0.29178600000000005,-0.3285125,-0.25650000000000006
74,random_v_MSE_v2,pretrained_baseline5p,BUID,random,4,40,1.2441133500000001,1.138425,1.361205,0.82176,0.725,0.9299999999999999,2.1668649999999996,1.834875,2.5549999999999997,-0.42235335,-0.44245249999999997,-0.40044625
75,random_v_MSE_v2,pretrained_baseline5p,WBC,mse_alternate_start_max,8,80,2.75431175,2.5683499999999997,2.899,2.3274274999999998,2.1074375,2.5000625,3.240785,3.0875000000000004,3.3899999999999997,-0.4268842500000001,-0.47700000000000004,-0.38275000000000003
76,random_v_MSE_v2,pretrained_baseline5p,WBC,mse_alternate_start_min,8,80,2.784287,2.6134812499999995,2.937525,2.3292025000000005,2.115,2.5225625,3.275125,3.1450000000000005,3.3975,-0.45508450000000006,-0.5097500000000001,-0.4065000000000001
77,random_v_MSE_v2,pretrained_baseline5p,WBC,mse_max,8,80,2.7743602499999995,2.6072312499999994,2.9128125,2.3467399999999996,2.1249375,2.52,3.2136225000000005,3.0999999999999996,3.3200625,-0.42762025000000004,-0.5095000000000001,-0.3562437500000001
78,random_v_MSE_v2,pretrained_baseline5p,WBC,mse_min,8,80,2.8531165,2.7004812499999997,2.99851875,2.40734,2.2024375,2.5950625,3.27974,3.1624375,3.385,-0.4457765000000001,-0.5102562500000001,-0.38996875000000014
79,random_v_MSE_v2,pretrained_baseline5p,WBC,random,8,80,2.8054715999999997,2.64358,2.9582693749999995,2.1217175,1.89,2.3300625,3.51927,3.4349999999999996,3.6075,-0.6837541,-0.7614125000000002,-0.618131875
80,random_v_MSE_v2,pretrained_baseline5p_mse_embedding_alternate_start_max,ACDC,mse_embedding_alternate_start_max_clip,6,60,3.4102685,3.303625,3.5078458333333336,3.1729366666666663,3.061666666666667,3.275,3.6363649999999996,3.5316249999999996,3.735083333333334,-0.2373318333333333,-0.2635125,-0.21316249999999998
81,random_v_MSE_v2,pretrained_baseline5p_mse_embedding_alternate_start_max,ACDC,mse_embedding_alternate_start_max_dinov2,6,60,3.455032,3.354766666666667,3.550670833333333,3.2076800000000003,3.084958333333333,3.3183333333333334,3.6977733333333336,3.606666666666667,3.785,-0.24735200000000002,-0.28083749999999996,-0.21832916666666669
